movie_id,display_title,display_year,genres_json,top_tags_json,rating_count,rating_mean,weighted_rating,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,feature_text,genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_IMAX,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western
1,玩具总动员,1995,"[""Adventure"",""Animation"",""Children"",""Comedy"",""Fantasy""]","[""pixar"",""fun""]",215,3.9209302325581397,3.898760721600897,7.974,19851.0,25.2787,玩具总动员 toy story adventure animation children comedy fantasy pixar fun 在胡迪的带领下，安迪的玩具们一直在他的房间里快乐地生活着，直到安迪的生日将巴斯光年带入这个大家庭。由于害怕自己在安迪心中的地位被取代，胡迪对这位新成员心存忌惮并密谋排挤。然而当各种意外将巴斯和胡迪与主人分离后，这对冤家逐渐学会了搁置分歧、携手共渡难关。[皮克斯],0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,勇敢者的游戏,1995,"[""Adventure"",""Children"",""Fantasy""]","[""fantasy"",""magic board game"",""robin williams"",""game""]",110,3.4318181818181817,3.4386777360934713,7.246,11290.0,2.866,勇敢者的游戏 jumanji adventure children fantasy fantasy magic board game robin williams game “尤曼吉”是一种类似于大富翁的棋类游戏，然而，和大富翁不同的是，“尤曼吉”的棋子能自动移动，当你走到其中一格时，这格描述的东西就会真实出现在你面前，而且游戏一经开始便不能结束，只有游戏结束才一切复原！12岁的阿伦（罗宾·威廉斯 robin williams 饰）和好友萨拉（邦尼·亨特 bonnie hunt 饰）才刚一开始玩“尤曼吉”，就被棋盘里面飞出来的蝙蝠吓得魂不附体，冲进了“尤曼吉”的神奇世界里，没能继续玩下去，以致两人就这样困在了另一个世界里。26年后，阿伦当年住的房子又搬进了两个小客人――朱迪（克尔斯滕·邓斯特 kirsten dunst 饰）和皮特（布雷德利·皮尔斯 bradley pierce 饰）姐弟两。他们在“尤吉曼”的战鼓声指引下找到了当年阿伦还没玩完的“尤吉曼”。在熟悉规则后，他们继续了当年阿伦还没结束的游戏……,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,斗气老顽童2,1995,"[""Comedy"",""Romance""]","[""moldy"",""old""]",52,3.2596153846153846,3.3049794344281804,6.479,428.0,1.5697,"斗气老顽童2 grumpier old men comedy romance moldy old 　　马科斯（沃尔特·马修 walter matthau 饰），一个固执但内心充满善意的人，与邻居乔（杰克·莱蒙 jack lemmon 饰）打了几十年的嘴仗。尽管他们常常吵得不可开交，几乎到了吵到不认识的地步，但他们似乎从未厌倦过这种争吵所带来的乐趣。即使他们的孩子即将步入婚礼殿堂，使他们成为未来的亲家，这种吵架的氛围依旧没有减少。 　　在看到乔与他的妻子埃丽尔（安·玛格丽特 ann margret 饰）之间甜蜜的互动时，孤身一人的马科斯内心难免感到一丝寂寞。他渴望像乔那样再次体验爱情的美好。然后，一个转机出现了。在镇上经营多年的鱼饵店关门大吉，被一对来自意大利的母女接手并转型为一家餐厅。这个变故让马科斯和乔都感到愤怒。因为餐厅的开业意味着他们将失去购买钓鱼用具和诱饵的地方，而且大量的客人将打破小河的宁静，可能导致他们无法再进行钓鱼活动。",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,等待梦醒时分,1995,"[""Comedy"",""Drama"",""Romance""]",[],7,2.357142857142857,3.079930726494923,6.3,198.0,2.5162,等待梦醒时分 waiting to exhale comedy drama romance  萨瓦纳（惠特尼·休斯顿 whitney houston 饰）是一个信奉真爱至上的女人，总是希望能够找到一个完美的男人。可是，人哪有完美的呢？因此，萨瓦纳的每一段感情都有始无终。博纳丁（安吉拉·贝塞特 angela bassett 饰）很早就和丈夫携手步入了婚姻的殿堂，过上了梦寐以求的相夫教子的生活，然而，这生活却并没有她想象中的那么美好，她的丈夫不仅欺骗和背叛了她，还残忍的离她而去。  　　罗宾（莱拉·罗琼 lela rochon 饰）性格热情奔放桀骜不驯，选择自由自在不负责任的生活方式，可是，这样的选择虽然给她带来了短暂的欢愉，却也带来了更多的麻烦。葛洛莉亚（洛雷塔·迪瓦恩 loretta devine 饰）独自抚养儿子长大成人，生活十分的不易，如今，儿子已经成年了，即将远行。在这个节骨眼上，新搬来的英俊邻居吸引了葛洛莉亚的注意。,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,新岳父大人2,1995,"[""Comedy""]","[""pregnancy"",""remake""]",49,3.0714285714285716,3.1560439967771075,6.278,805.0,1.8258,新岳父大人2 father of the bride part ii comedy pregnancy remake 　　乔治（史蒂夫·马丁 steve martin 饰）好不容易才接受了女儿已嫁为人妻的现实，本以为生活能够重新归于平静，没想到女儿怀孕的消息再度让乔治陷入了焦虑之中。女儿怀孕，不仅意味着她将步入人生新的阶段，同时还意味着，乔治已经到了升格成为外公的年纪了，一种深深的危机感弥漫在乔治的心头无法挥散。  　　不知是福是祸，乔治的妻子妮娜（黛安·基顿 diane keaton 饰）也有喜了，一边是外公，一边是父亲，被两种身份困扰得焦头烂额的乔治能够担负起自己的责任吗？在这样一个节骨眼上，不知道是哪根筋搭错了的乔治竟然将精力投入到了证明自己依旧“宝刀未老”这件事情上面。,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,盗火线,1995,"[""Action"",""Crime"",""Thriller""]",[],102,3.946078431372549,3.8992867000298554,7.934,8317.0,16.4151,盗火线 heat action crime thriller  文森特•汉纳是洛杉矶警局重案组的探长，工作积极投入，打击犯罪毫不手软，因此，家庭生活危机重重，目前的第三次婚姻也面临解体；尼尔•麦考利是职业匪徒，混迹江湖多年，做事干净利落，而且心狠手辣，不留后患，组织手下成功抢劫运钞车的案子，使他受到了警方的“特别关注”。一个偶然的机会，尼尔认识了平面设计师伊迪，两人一见钟情，再看到手下都有安定的家庭生活，尼尔也想把握自己的幸福，遂萌生退意。然而，在最后一次抢劫银行的行动中，因为叛徒的出卖，手下一死一伤，本已逃出的尼尔，带着伊迪在去机场的路上，得知了叛徒的消息，他决定替手下报仇，同时也和文森特•汉纳进行最后的较量……,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,新龙凤配,1995,"[""Comedy"",""Romance""]","[""remake""]",54,3.185185185185185,3.242707330354599,6.2,690.0,4.331,新龙凤配 sabrina comedy romance remake sabrina（julia ormond 朱莉娅·奥蒙德饰）是赖瑞毕家司机的女儿，从小她就暗恋二少爷david（greg kinnear 格雷格·金内尔饰）。外界对二少爷的评价可远远不及他的大哥linus（harrison ford 哈里森·福特饰），人们赞许大少爷睿智冷静，富有商业头脑。二少爷不过是个游手好闲，只知道泡妞的花花公子罢了。  可sabrina才不理那些，她一心一意爱着david，但父亲却为此忧心忡忡，他托人将sabrina送去巴黎深造，期待她能走出狭隘的小圈子，看到世界的辽阔。  果然，从巴黎回来后，sabrina一洗土气，举止大方，谈吐自如，女人味十足。david迅速拜倒在她的石榴裙下，甚至欲至未婚妻于不顾，这引起了家族的恐慌。linus为此刻意接近sabrina，希望能把她打发走，可情节的走向却开始逐渐脱离linus的掌握……,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,汤姆历险记,1995,"[""Adventure"",""Children""]",[],8,2.875,3.2509341901701774,5.304,214.0,1.4299,汤姆历险记 tom and huck adventure children  本片改编自大文豪马克·吐温的作品。密西西比河畔小镇上出了名的捣蛋鬼汤姆和他的流浪哥们哈克无意中目击印第安人乔杀人并嫁祸于无辜的老醉鬼马夫，在良心的驱使下，汤姆与哈克决定偷取杀人凶手的藏宝图以帮助马夫洗刷冤屈，但乔却在寻获在寻获宝物后将图烧了，现在唯一能解救马夫的只有两人的证词。,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,突然死亡,1995,"[""Action""]",[],16,3.125,3.286381564407269,6.03,805.0,2.5884,突然死亡 sudden death action  这天，达伦（尚格•云顿 jean-claude van damme 饰）和他的女儿高高兴兴前往体育馆观看冰上曲棍球比赛。因这是一场十分关键的比赛，所以体育馆内人山人海，很多达官贵人也前来观战助威。不料人多拥挤，达伦和女儿走散了。四出寻找女儿的达伦，女儿没找到，反而发现了一个惊天大秘密！  　　达伦发现了这里的保安和警察都有点不对劲，仔细观察下，他得知了这些警察和保安竟然都是恐怖分子假扮的，更可怕的是，这些恐怖分子已经控制住了贵宾厢内包括副总理在内的一众贵宾。达伦如何才能在这一团遭的局面杀出生天？,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,007：黄金眼,1995,"[""Action"",""Adventure"",""Thriller""]",[],132,3.496212121212121,3.496657526412524,6.9,4322.0,7.9883,007：黄金眼 goldeneye action adventure thriller  黄金眼是苏联研制的用于发射电磁波破坏对方电子系统的攻击性卫星。与007一块出生入死的朋友艾里克死后突然复出，夺取了黄金眼，并密谋从伦敦银行电脑中转出巨款，然后利用黄金眼毁灭证据，007深入基地，并炸毁基地。此次冒险行动中，007必须寻找在苏联被劫走的黄金眼，那是一种带有电磁波的武器，被一位叛变的苏联将军所偷。这项任务背后，最复杂的是007发现制造这次阴谋的歹徒是他的一位旧识及同僚，他是英国籍的探员006，他计划使用这项武器引起全球金融的瓦解，借此增加财富。同时，007遇见美艳女郎西娜·奥纳托，她是一位变态的歹徒，并用尽一切方法对付007。另一位新进的邦女郎是娜塔丽娅，她将协助007打败006。,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
