user_id,movie_id,timestamp,tag_norm,tagged_at
2,60756,1445714994,funny,2015-10-24T19:29:54Z
2,60756,1445714996,highly quotable,2015-10-24T19:29:56Z
2,60756,1445714992,will ferrell,2015-10-24T19:29:52Z
2,89774,1445715207,boxing story,2015-10-24T19:33:27Z
2,89774,1445715200,mma,2015-10-24T19:33:20Z
2,89774,1445715205,tom hardy,2015-10-24T19:33:25Z
2,106782,1445715054,drugs,2015-10-24T19:30:54Z
2,106782,1445715051,leonardo dicaprio,2015-10-24T19:30:51Z
2,106782,1445715056,martin scorsese,2015-10-24T19:30:56Z
7,48516,1169687325,way too long,2007-01-25T01:08:45Z
18,431,1462138765,al pacino,2016-05-01T21:39:25Z
18,431,1462138749,gangster,2016-05-01T21:39:09Z
18,431,1462138755,mafia,2016-05-01T21:39:15Z
18,1221,1461699306,al pacino,2016-04-26T19:35:06Z
18,1221,1461699303,mafia,2016-04-26T19:35:03Z
18,5995,1455735472,holocaust,2016-02-17T18:57:52Z
18,5995,1455735479,true story,2016-02-17T18:57:59Z
18,44665,1456948283,twist ending,2016-03-02T19:51:23Z
18,52604,1457650696,anthony hopkins,2016-03-10T22:58:16Z
18,52604,1457650711,courtroom drama,2016-03-10T22:58:31Z
18,52604,1457650682,twist ending,2016-03-10T22:58:02Z
18,88094,1457444500,britpop,2016-03-08T13:41:40Z
18,88094,1457444592,indie record label,2016-03-08T13:43:12Z
18,88094,1457444609,music,2016-03-08T13:43:29Z
18,144210,1455060381,dumpster diving,2016-02-09T23:26:21Z
18,144210,1455060452,sustainability,2016-02-09T23:27:32Z
21,1569,1419805413,romantic comedy,2014-12-28T22:23:33Z
21,1569,1419805419,wedding,2014-12-28T22:23:39Z
21,118985,1419805477,painter,2014-12-28T22:24:37Z
21,119141,1419793962,bloody,2014-12-28T19:12:42Z
49,109487,1493093306,black hole,2017-04-25T04:08:26Z
49,109487,1493093332,sci-fi,2017-04-25T04:08:52Z
49,109487,1493093356,time-travel,2017-04-25T04:09:16Z
62,2,1528843929,fantasy,2018-06-12T22:52:09Z
62,2,1528843932,magic board game,2018-06-12T22:52:12Z
62,2,1528843907,robin williams,2018-06-12T22:51:47Z
62,110,1528152541,beautiful scenery,2018-06-04T22:49:01Z
62,110,1528152532,epic,2018-06-04T22:48:52Z
62,110,1528152523,historical,2018-06-04T22:48:43Z
62,110,1528152527,inspirational,2018-06-04T22:48:47Z
62,110,1528152528,medieval,2018-06-04T22:48:48Z
62,110,1528152521,mel gibson,2018-06-04T22:48:41Z
62,110,1528152539,oscar (best cinematography),2018-06-04T22:48:59Z
62,110,1528152531,revenge,2018-06-04T22:48:51Z
62,110,1528152535,sword fight,2018-06-04T22:48:55Z
62,410,1525636607,black comedy,2018-05-06T19:56:47Z
62,410,1525636685,christina ricci,2018-05-06T19:58:05Z
62,410,1525636622,christopher lloyd,2018-05-06T19:57:02Z
62,410,1525636610,dark comedy,2018-05-06T19:56:50Z
62,410,1525636708,family,2018-05-06T19:58:28Z
62,410,1525636609,gothic,2018-05-06T19:56:49Z
62,2023,1525636728,al pacino,2018-05-06T19:58:48Z
62,2023,1525636768,andy garcia,2018-05-06T19:59:28Z
62,2023,1525636752,classic,2018-05-06T19:59:12Z
62,2023,1525636752,francis ford coppola,2018-05-06T19:59:12Z
62,2023,1525636733,mafia,2018-05-06T19:58:53Z
62,2124,1525636847,black comedy,2018-05-06T20:00:47Z
62,2124,1525636867,christina ricci,2018-05-06T20:01:07Z
62,2124,1525636859,christopher lloyd,2018-05-06T20:00:59Z
62,2124,1525636855,family,2018-05-06T20:00:55Z
62,2124,1525636849,gothic,2018-05-06T20:00:49Z
62,2124,1525636846,quirky,2018-05-06T20:00:46Z
62,2953,1525636883,family,2018-05-06T20:01:23Z
62,2953,1525636885,funny,2018-05-06T20:01:25Z
62,2953,1525636890,macaulay culkin,2018-05-06T20:01:30Z
62,2953,1525636887,sequel,2018-05-06T20:01:27Z
62,3114,1525636903,animation,2018-05-06T20:01:43Z
62,3114,1525636902,disney,2018-05-06T20:01:42Z
62,3114,1525636913,funny,2018-05-06T20:01:53Z
62,3114,1525636917,original,2018-05-06T20:01:57Z
62,3114,1525636901,pixar,2018-05-06T20:01:41Z
62,3114,1525636910,sequel,2018-05-06T20:01:50Z
62,3114,1525636925,tom hanks,2018-05-06T20:02:05Z
62,3578,1528152504,ancient rome,2018-06-04T22:48:24Z
62,3578,1528152469,epic,2018-06-04T22:47:49Z
62,3578,1528152467,history,2018-06-04T22:47:47Z
62,3578,1528152498,imdb top 250,2018-06-04T22:48:18Z
62,3578,1528152496,revenge,2018-06-04T22:48:16Z
62,3578,1528152463,rome,2018-06-04T22:47:43Z
62,3578,1528152465,russell crowe,2018-06-04T22:47:45Z
62,4223,1528024869,ed harris,2018-06-03T11:21:09Z
62,4223,1528024854,jude law,2018-06-03T11:20:54Z
62,4223,1528024873,rachel weisz,2018-06-03T11:21:13Z
62,4223,1528024852,sniper,2018-06-03T11:20:52Z
62,4223,1528024877,world war ii,2018-06-03T11:21:17Z
62,5388,1530310809,al pacino,2018-06-29T22:20:09Z
62,5388,1530310959,atmospheric,2018-06-29T22:22:39Z
62,5388,1530310952,hilary swank,2018-06-29T22:22:32Z
62,5388,1530310811,robin williams,2018-06-29T22:20:11Z
62,6058,1525555053,sequel,2018-05-05T21:17:33Z
62,6058,1525555051,violent,2018-05-05T21:17:31Z
62,6534,1525554096,dogs,2018-05-05T21:01:36Z
62,6534,1525554086,eric bana,2018-05-05T21:01:26Z
62,6534,1525554098,mad scientist,2018-05-05T21:01:38Z
62,6534,1525554100,marvel,2018-05-05T21:01:40Z
62,6541,1525554054,captain nemo,2018-05-05T21:00:54Z
62,6541,1525554028,comic book,2018-05-05T21:00:28Z
62,6541,1525554056,gothic,2018-05-05T21:00:56Z
62,6541,1525554040,peta wilson,2018-05-05T21:00:40Z
62,6541,1525554026,sean connery,2018-05-05T21:00:26Z
62,6541,1525554051,superhero,2018-05-05T21:00:51Z
62,6564,1525554439,adventure,2018-05-05T21:07:19Z
62,6564,1525554432,angelina jolie,2018-05-05T21:07:12Z
62,6564,1525554441,heroine in tight suit,2018-05-05T21:07:21Z
62,7153,1528152558,adventure,2018-06-04T22:49:18Z
62,7153,1528152578,ensemble cast,2018-06-04T22:49:38Z
62,7153,1528152556,fantasy,2018-06-04T22:49:16Z
62,7153,1528152571,fantasy world,2018-06-04T22:49:31Z
